"","m","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection"
"1115","black",1,TRUE,0.00313,277,387,25,0.065,0.09,"GO:0019787","MF",4,"ubiquitin-like protein transferase activity",1,"ENSG00000014123,ENSG00000071794,ENSG00000077721,ENSG00000094880,ENSG00000105879,ENSG00000109332,ENSG00000109466,ENSG00000109654,ENSG00000110330,ENSG00000110344,ENSG00000115392,ENSG00000118518,ENSG00000118564,ENSG00000125686,ENSG00000132388,ENSG00000134758,ENSG00000144848,ENSG00000148634,ENSG00000153827,ENSG00000170142,ENSG00000196470,ENSG00000197329,ENSG00000197579,ENSG00000198642,ENSG00000198862"
"718","black",1,TRUE,0.00493,36,387,8,0.021,0.222,"GO:0070936","BP",6,"protein K48-linked ubiquitination",1,"ENSG00000077721,ENSG00000109332,ENSG00000110330,ENSG00000118518,ENSG00000132388,ENSG00000170142,ENSG00000197329,ENSG00000197579"
"155","black",1,TRUE,0.00683,95,387,15,0.039,0.158,"KEGG:03040","keg",12,"Spliceosome",1,"ENSG00000086589,ENSG00000101343,ENSG00000106355,ENSG00000109606,ENSG00000112081,ENSG00000115524,ENSG00000119953,ENSG00000124380,ENSG00000125870,ENSG00000128534,ENSG00000136450,ENSG00000136527,ENSG00000136937,ENSG00000163714,ENSG00000169564"
"618","black",1,TRUE,0.0204,55,387,9,0.023,0.164,"GO:0006446","BP",5,"regulation of translational initiation",1,"ENSG00000067248,ENSG00000104131,ENSG00000108443,ENSG00000110321,ENSG00000136937,ENSG00000158092,ENSG00000173812,ENSG00000185728,ENSG00000215301"
"1313","black",1,TRUE,0.0323,16,387,4,0.01,0.25,"KEGG:03060","keg",10,"Protein export",1,"ENSG00000008952,ENSG00000044574,ENSG00000100883,ENSG00000140319"
"1015","black",1,TRUE,0.0329,902,387,53,0.137,0.059,"GO:1902494","CC",3,"catalytic complex",1,"ENSG00000036549,ENSG00000043093,ENSG00000071537,ENSG00000074266,ENSG00000077721,ENSG00000078142,ENSG00000082258,ENSG00000086589,ENSG00000094880,ENSG00000101343,ENSG00000104695,ENSG00000105176,ENSG00000105879,ENSG00000109466,ENSG00000110344,ENSG00000111276,ENSG00000112739,ENSG00000113593,ENSG00000114520,ENSG00000115524,ENSG00000118564,ENSG00000120699,ENSG00000125686,ENSG00000125870,ENSG00000125944,ENSG00000127955,ENSG00000132356,ENSG00000132640,ENSG00000135341,ENSG00000136450,ENSG00000137955,ENSG00000138785,ENSG00000139687,ENSG00000140307,ENSG00000142892,ENSG00000144848,ENSG00000145439,ENSG00000150459,ENSG00000151332,ENSG00000152778,ENSG00000158092,ENSG00000164162,ENSG00000165672,ENSG00000169045,ENSG00000170142,ENSG00000178691,ENSG00000186298,ENSG00000188342,ENSG00000196591,ENSG00000196792,ENSG00000197579,ENSG00000198642,ENSG00000198730"
"156","black",1,TRUE,0.0397,26,387,6,0.016,0.231,"GO:0033146","BP",17,"regulation of intracellular estrogen receptor signaling pathway",1,"ENSG00000014123,ENSG00000109775,ENSG00000111596,ENSG00000120686,ENSG00000125686,ENSG00000196792"
"1410","black",1,TRUE,0.0428,108,387,14,0.036,0.13,"KEGG:04120","keg",16,"Ubiquitin mediated proteolysis",1,"ENSG00000033178,ENSG00000077721,ENSG00000094880,ENSG00000109332,ENSG00000110330,ENSG00000110344,ENSG00000115392,ENSG00000132388,ENSG00000148634,ENSG00000153827,ENSG00000164162,ENSG00000170142,ENSG00000196470,ENSG00000198642"
"444","turquoise",1,TRUE,7.62e-18,985,1100,189,0.172,0.192,"GO:0097458","CC",32,"neuron part",1,"ENSG00000006071,ENSG00000006740,ENSG00000007047,ENSG00000007516,ENSG00000008056,ENSG00000008118,ENSG00000008735,ENSG00000011332,ENSG00000020129,ENSG00000034053,ENSG00000054356,ENSG00000055163,ENSG00000058404,ENSG00000059915,ENSG00000061337,ENSG00000065000,ENSG00000067606,ENSG00000068831,ENSG00000069424,ENSG00000072062,ENSG00000075618,ENSG00000076864,ENSG00000077279,ENSG00000082014,ENSG00000082458,ENSG00000087258,ENSG00000087460,ENSG00000088256,ENSG00000089169,ENSG00000090372,ENSG00000099864,ENSG00000099956,ENSG00000100321,ENSG00000100401,ENSG00000100884,ENSG00000101210,ENSG00000102003,ENSG00000102225,ENSG00000102385,ENSG00000102879,ENSG00000103042,ENSG00000103264,ENSG00000103549,ENSG00000103723,ENSG00000103942,ENSG00000104833,ENSG00000104863,ENSG00000104888,ENSG00000105220,ENSG00000105404,ENSG00000105409,ENSG00000105568,ENSG00000105642,ENSG00000105649,ENSG00000106089,ENSG00000106683,ENSG00000106976,ENSG00000107130,ENSG00000107404,ENSG00000108684,ENSG00000108797,ENSG00000108852,ENSG00000110076,ENSG00000110171,ENSG00000113758,ENSG00000115194,ENSG00000115977,ENSG00000116396,ENSG00000116584,ENSG00000116661,ENSG00000116852,ENSG00000117245,ENSG00000118160,ENSG00000118162,ENSG00000119522,ENSG00000120899,ENSG00000121905,ENSG00000122966,ENSG00000123360,ENSG00000124140,ENSG00000124507,ENSG00000125510,ENSG00000125841,ENSG00000126243,ENSG00000126583,ENSG00000127561,ENSG00000127588,ENSG00000127616,ENSG00000128266,ENSG00000129159,ENSG00000129990,ENSG00000130294,ENSG00000130477,ENSG00000130479,ENSG00000131697,ENSG00000132535,ENSG00000134780,ENSG00000134909,ENSG00000136854,ENSG00000136928,ENSG00000137343,ENSG00000137825,ENSG00000138834,ENSG00000139613,ENSG00000139625,ENSG00000139874,ENSG00000140521,ENSG00000140854,ENSG00000141480,ENSG00000141551,ENSG00000141837,ENSG00000142185,ENSG00000143761,ENSG00000143801,ENSG00000143847,ENSG00000145920,ENSG00000148408,ENSG00000149927,ENSG00000152092,ENSG00000152102,ENSG00000153317,ENSG00000154096,ENSG00000154146,ENSG00000155093,ENSG00000155511,ENSG00000157152,ENSG00000158445,ENSG00000158555,ENSG00000158828,ENSG00000159164,ENSG00000159363,ENSG00000159788,ENSG00000160460,ENSG00000161381,ENSG00000162104,ENSG00000162105,ENSG00000162545,ENSG00000163462,ENSG00000163913,ENSG00000164061,ENSG00000164082,ENSG00000164418,ENSG00000164715,ENSG00000165553,ENSG00000165699,ENSG00000165802,ENSG00000166165,ENSG00000166313,ENSG00000166862,ENSG00000167136,ENSG00000167323,ENSG00000167964,ENSG00000169220,ENSG00000169750,ENSG00000171385,ENSG00000171992,ENSG00000172531,ENSG00000172757,ENSG00000173227,ENSG00000173267,ENSG00000173898,ENSG00000174938,ENSG00000175866,ENSG00000176406,ENSG00000176788,ENSG00000176884,ENSG00000177380,ENSG00000181418,ENSG00000182473,ENSG00000184156,ENSG00000184702,ENSG00000184792,ENSG00000185133,ENSG00000185518,ENSG00000186111,ENSG00000186575,ENSG00000186642,ENSG00000186868,ENSG00000187535,ENSG00000187778,ENSG00000197555,ENSG00000197562,ENSG00000197912,ENSG00000198722,ENSG00000198793,ENSG00000198794,ENSG00000198797,ENSG00000198910,ENSG00000204681"
"484","turquoise",1,TRUE,6.58e-17,609,1100,133,0.121,0.218,"GO:0045202","CC",70,"synapse",1,"ENSG00000006071,ENSG00000006740,ENSG00000007516,ENSG00000008056,ENSG00000008735,ENSG00000034053,ENSG00000054356,ENSG00000055163,ENSG00000059915,ENSG00000060709,ENSG00000061337,ENSG00000065000,ENSG00000068831,ENSG00000069424,ENSG00000072062,ENSG00000074317,ENSG00000075340,ENSG00000080845,ENSG00000082458,ENSG00000087085,ENSG00000088899,ENSG00000089169,ENSG00000090372,ENSG00000099864,ENSG00000100321,ENSG00000101199,ENSG00000102003,ENSG00000102225,ENSG00000102385,ENSG00000103549,ENSG00000103942,ENSG00000104863,ENSG00000104888,ENSG00000105404,ENSG00000105409,ENSG00000105649,ENSG00000106089,ENSG00000107130,ENSG00000107404,ENSG00000108684,ENSG00000108852,ENSG00000110076,ENSG00000112137,ENSG00000112759,ENSG00000115194,ENSG00000115977,ENSG00000116396,ENSG00000116584,ENSG00000116661,ENSG00000118160,ENSG00000118162,ENSG00000119522,ENSG00000120899,ENSG00000121905,ENSG00000124507,ENSG00000126243,ENSG00000126583,ENSG00000127561,ENSG00000129990,ENSG00000130477,ENSG00000130479,ENSG00000131018,ENSG00000131188,ENSG00000131697,ENSG00000132535,ENSG00000134780,ENSG00000134909,ENSG00000135472,ENSG00000135622,ENSG00000136854,ENSG00000136928,ENSG00000137825,ENSG00000138101,ENSG00000139182,ENSG00000140521,ENSG00000141480,ENSG00000141837,ENSG00000142208,ENSG00000143761,ENSG00000143847,ENSG00000145920,ENSG00000148408,ENSG00000149927,ENSG00000153317,ENSG00000154146,ENSG00000155093,ENSG00000155511,ENSG00000157087,ENSG00000157152,ENSG00000157782,ENSG00000158445,ENSG00000158856,ENSG00000159164,ENSG00000159788,ENSG00000160716,ENSG00000162105,ENSG00000162545,ENSG00000164061,ENSG00000164082,ENSG00000164418,ENSG00000165802,ENSG00000166313,ENSG00000166862,ENSG00000167964,ENSG00000168135,ENSG00000169057,ENSG00000169220,ENSG00000171603,ENSG00000171914,ENSG00000171992,ENSG00000172531,ENSG00000172757,ENSG00000173227,ENSG00000175866,ENSG00000176406,ENSG00000176884,ENSG00000177380,ENSG00000178950,ENSG00000181418,ENSG00000184117,ENSG00000184702,ENSG00000185518,ENSG00000186111,ENSG00000186642,ENSG00000186716,ENSG00000188157,ENSG00000197555,ENSG00000197562,ENSG00000198010,ENSG00000198722,ENSG00000198794,ENSG00000204681,ENSG00000206561"
"374","turquoise",1,TRUE,2.47e-13,814,1100,153,0.139,0.188,"GO:0043005","CC",71,"neuron projection",1,"ENSG00000006740,ENSG00000007047,ENSG00000008056,ENSG00000008118,ENSG00000020129,ENSG00000054356,ENSG00000055163,ENSG00000058404,ENSG00000059915,ENSG00000061337,ENSG00000065000,ENSG00000067606,ENSG00000068831,ENSG00000069424,ENSG00000072062,ENSG00000075618,ENSG00000076864,ENSG00000077279,ENSG00000082458,ENSG00000087258,ENSG00000087460,ENSG00000088256,ENSG00000089169,ENSG00000090372,ENSG00000099864,ENSG00000100321,ENSG00000100401,ENSG00000100884,ENSG00000102003,ENSG00000102225,ENSG00000102385,ENSG00000102879,ENSG00000103042,ENSG00000103549,ENSG00000103723,ENSG00000103942,ENSG00000104833,ENSG00000104863,ENSG00000104888,ENSG00000105220,ENSG00000105409,ENSG00000105568,ENSG00000105649,ENSG00000106089,ENSG00000106683,ENSG00000107130,ENSG00000107404,ENSG00000108684,ENSG00000108797,ENSG00000108852,ENSG00000110171,ENSG00000113758,ENSG00000115194,ENSG00000115977,ENSG00000116396,ENSG00000116584,ENSG00000116661,ENSG00000116852,ENSG00000117245,ENSG00000118160,ENSG00000118162,ENSG00000119522,ENSG00000120899,ENSG00000121905,ENSG00000124140,ENSG00000124507,ENSG00000125510,ENSG00000126243,ENSG00000126583,ENSG00000127588,ENSG00000128266,ENSG00000129159,ENSG00000129990,ENSG00000130294,ENSG00000130477,ENSG00000130479,ENSG00000131697,ENSG00000132535,ENSG00000134780,ENSG00000134909,ENSG00000136854,ENSG00000136928,ENSG00000137343,ENSG00000137825,ENSG00000138834,ENSG00000139625,ENSG00000139874,ENSG00000140521,ENSG00000140854,ENSG00000141480,ENSG00000141551,ENSG00000141837,ENSG00000142185,ENSG00000143761,ENSG00000145920,ENSG00000148408,ENSG00000149927,ENSG00000152102,ENSG00000153317,ENSG00000154096,ENSG00000154146,ENSG00000155093,ENSG00000155511,ENSG00000158445,ENSG00000158555,ENSG00000158828,ENSG00000159164,ENSG00000159363,ENSG00000159788,ENSG00000160460,ENSG00000161381,ENSG00000162104,ENSG00000162105,ENSG00000162545,ENSG00000163462,ENSG00000163913,ENSG00000164061,ENSG00000164082,ENSG00000164418,ENSG00000164715,ENSG00000165699,ENSG00000165802,ENSG00000166165,ENSG00000166313,ENSG00000166862,ENSG00000167323,ENSG00000169220,ENSG00000169750,ENSG00000171385,ENSG00000171992,ENSG00000172531,ENSG00000172757,ENSG00000173267,ENSG00000175866,ENSG00000176788,ENSG00000176884,ENSG00000181418,ENSG00000182473,ENSG00000184156,ENSG00000184702,ENSG00000184792,ENSG00000185133,ENSG00000186575,ENSG00000186868,ENSG00000187535,ENSG00000187778,ENSG00000197555,ENSG00000197912,ENSG00000198722,ENSG00000198793,ENSG00000198797,ENSG00000198910,ENSG00000204681"
"194","turquoise",1,TRUE,6.33e-13,458,1100,101,0.092,0.221,"GO:0099537","BP",34,"trans-synaptic signaling",1,"ENSG00000007402,ENSG00000007516,ENSG00000008056,ENSG00000008735,ENSG00000010322,ENSG00000020129,ENSG00000034053,ENSG00000058404,ENSG00000061337,ENSG00000067191,ENSG00000067606,ENSG00000072062,ENSG00000074317,ENSG00000082458,ENSG00000087085,ENSG00000089169,ENSG00000100321,ENSG00000100884,ENSG00000102003,ENSG00000104863,ENSG00000104888,ENSG00000105143,ENSG00000105642,ENSG00000105649,ENSG00000106089,ENSG00000106976,ENSG00000107404,ENSG00000108684,ENSG00000108852,ENSG00000109103,ENSG00000110076,ENSG00000111249,ENSG00000112759,ENSG00000113758,ENSG00000114812,ENSG00000116396,ENSG00000118160,ENSG00000120049,ENSG00000120899,ENSG00000124140,ENSG00000125510,ENSG00000126583,ENSG00000128285,ENSG00000129990,ENSG00000130477,ENSG00000132535,ENSG00000134780,ENSG00000136854,ENSG00000136928,ENSG00000137312,ENSG00000137825,ENSG00000139182,ENSG00000141480,ENSG00000141837,ENSG00000142208,ENSG00000143761,ENSG00000143847,ENSG00000145920,ENSG00000148082,ENSG00000148408,ENSG00000149927,ENSG00000154118,ENSG00000154146,ENSG00000155093,ENSG00000155511,ENSG00000157152,ENSG00000158445,ENSG00000158828,ENSG00000160716,ENSG00000162105,ENSG00000164061,ENSG00000164082,ENSG00000164418,ENSG00000165300,ENSG00000165802,ENSG00000167535,ENSG00000168830,ENSG00000169057,ENSG00000169220,ENSG00000169750,ENSG00000171246,ENSG00000171532,ENSG00000171603,ENSG00000171992,ENSG00000172757,ENSG00000173227,ENSG00000173267,ENSG00000174775,ENSG00000175866,ENSG00000176248,ENSG00000176406,ENSG00000176884,ENSG00000177380,ENSG00000184156,ENSG00000184702,ENSG00000186111,ENSG00000197555,ENSG00000198010,ENSG00000198216,ENSG00000198722,ENSG00000206561"
"5110","turquoise",1,TRUE,4.14e-08,219,1100,53,0.048,0.242,"GO:0097060","CC",47,"synaptic membrane",1,"ENSG00000061337,ENSG00000082458,ENSG00000088899,ENSG00000099864,ENSG00000102003,ENSG00000102385,ENSG00000103942,ENSG00000104863,ENSG00000106089,ENSG00000107130,ENSG00000108852,ENSG00000119522,ENSG00000126243,ENSG00000126583,ENSG00000130477,ENSG00000131018,ENSG00000131188,ENSG00000132535,ENSG00000134780,ENSG00000134909,ENSG00000135472,ENSG00000135622,ENSG00000136854,ENSG00000136928,ENSG00000139182,ENSG00000141480,ENSG00000143761,ENSG00000155511,ENSG00000157782,ENSG00000158445,ENSG00000160716,ENSG00000162105,ENSG00000162545,ENSG00000164082,ENSG00000164418,ENSG00000165802,ENSG00000166313,ENSG00000166862,ENSG00000168135,ENSG00000169220,ENSG00000171603,ENSG00000171992,ENSG00000172757,ENSG00000175866,ENSG00000176406,ENSG00000176884,ENSG00000181418,ENSG00000184117,ENSG00000186642,ENSG00000186716,ENSG00000197555,ENSG00000198010,ENSG00000204681"
"234","turquoise",1,TRUE,5.11e-08,1646,1100,238,0.216,0.145,"GO:0007399","BP",62,"nervous system development",1,"ENSG00000002330,ENSG00000006071,ENSG00000006740,ENSG00000007047,ENSG00000007237,ENSG00000008300,ENSG00000008710,ENSG00000008735,ENSG00000011332,ENSG00000020129,ENSG00000022840,ENSG00000034053,ENSG00000036530,ENSG00000041515,ENSG00000043143,ENSG00000049759,ENSG00000055163,ENSG00000058404,ENSG00000059915,ENSG00000061337,ENSG00000063176,ENSG00000063660,ENSG00000067606,ENSG00000067836,ENSG00000068971,ENSG00000070182,ENSG00000070770,ENSG00000071655,ENSG00000072062,ENSG00000072518,ENSG00000072832,ENSG00000073050,ENSG00000075624,ENSG00000076356,ENSG00000076864,ENSG00000077279,ENSG00000082014,ENSG00000082458,ENSG00000087085,ENSG00000087258,ENSG00000090539,ENSG00000092445,ENSG00000099864,ENSG00000099956,ENSG00000100056,ENSG00000100320,ENSG00000100605,ENSG00000100884,ENSG00000100888,ENSG00000100983,ENSG00000102225,ENSG00000102385,ENSG00000102882,ENSG00000103034,ENSG00000103197,ENSG00000103264,ENSG00000104884,ENSG00000104888,ENSG00000105409,ENSG00000105429,ENSG00000105649,ENSG00000105701,ENSG00000105953,ENSG00000106683,ENSG00000107130,ENSG00000107263,ENSG00000107404,ENSG00000107742,ENSG00000108352,ENSG00000108684,ENSG00000108797,ENSG00000108840,ENSG00000108947,ENSG00000109103,ENSG00000110076,ENSG00000110107,ENSG00000110171,ENSG00000110697,ENSG00000110888,ENSG00000111249,ENSG00000112640,ENSG00000113758,ENSG00000114554,ENSG00000114867,ENSG00000115211,ENSG00000115657,ENSG00000115694,ENSG00000116254,ENSG00000116584,ENSG00000116604,ENSG00000116983,ENSG00000117245,ENSG00000117411,ENSG00000118046,ENSG00000120049,ENSG00000120899,ENSG00000121753,ENSG00000121905,ENSG00000122966,ENSG00000124140,ENSG00000124507,ENSG00000125170,ENSG00000125505,ENSG00000125650,ENSG00000126243,ENSG00000126583,ENSG00000127561,ENSG00000127616,ENSG00000129159,ENSG00000130477,ENSG00000130479,ENSG00000131697,ENSG00000132535,ENSG00000132670,ENSG00000133895,ENSG00000134072,ENSG00000134780,ENSG00000135127,ENSG00000135472,ENSG00000135503,ENSG00000135622,ENSG00000135638,ENSG00000136271,ENSG00000136854,ENSG00000137312,ENSG00000137343,ENSG00000137825,ENSG00000138834,ENSG00000139182,ENSG00000139197,ENSG00000139405,ENSG00000139613,ENSG00000139874,ENSG00000140538,ENSG00000140854,ENSG00000141480,ENSG00000141522,ENSG00000141551,ENSG00000141556,ENSG00000141699,ENSG00000141837,ENSG00000142208,ENSG00000142453,ENSG00000143126,ENSG00000143761,ENSG00000145147,ENSG00000145920,ENSG00000146950,ENSG00000148082,ENSG00000149654,ENSG00000149927,ENSG00000151640,ENSG00000152092,ENSG00000153317,ENSG00000154096,ENSG00000154146,ENSG00000154370,ENSG00000157087,ENSG00000157216,ENSG00000158555,ENSG00000159842,ENSG00000160007,ENSG00000160113,ENSG00000160460,ENSG00000160716,ENSG00000161381,ENSG00000162105,ENSG00000163462,ENSG00000163913,ENSG00000164061,ENSG00000164742,ENSG00000165300,ENSG00000165699,ENSG00000165802,ENSG00000166165,ENSG00000166257,ENSG00000166313,ENSG00000166886,ENSG00000167632,ENSG00000167657,ENSG00000168546,ENSG00000169057,ENSG00000169220,ENSG00000169733,ENSG00000169750,ENSG00000170382,ENSG00000170485,ENSG00000171246,ENSG00000171450,ENSG00000171532,ENSG00000171603,ENSG00000171608,ENSG00000172379,ENSG00000172757,ENSG00000173621,ENSG00000173898,ENSG00000174233,ENSG00000174672,ENSG00000174775,ENSG00000174938,ENSG00000175866,ENSG00000176020,ENSG00000176248,ENSG00000176406,ENSG00000176788,ENSG00000176884,ENSG00000176956,ENSG00000177030,ENSG00000177169,ENSG00000178950,ENSG00000179242,ENSG00000183049,ENSG00000183087,ENSG00000184271,ENSG00000184347,ENSG00000184349,ENSG00000184524,ENSG00000184916,ENSG00000185133,ENSG00000186575,ENSG00000186716,ENSG00000186868,ENSG00000187535,ENSG00000188157,ENSG00000196405,ENSG00000196588,ENSG00000196923,ENSG00000197555,ENSG00000197912,ENSG00000198026,ENSG00000198722,ENSG00000198793,ENSG00000198797,ENSG00000198910,ENSG00000204371,ENSG00000204463,ENSG00000204843,ENSG00000206561"
"2110","turquoise",1,TRUE,1.42e-07,189,1100,47,0.043,0.249,"GO:0050808","BP",52,"synapse organization",1,"ENSG00000006740,ENSG00000007402,ENSG00000058404,ENSG00000067191,ENSG00000074317,ENSG00000075624,ENSG00000087085,ENSG00000099864,ENSG00000102385,ENSG00000105649,ENSG00000107404,ENSG00000107742,ENSG00000108684,ENSG00000110076,ENSG00000111249,ENSG00000114867,ENSG00000121753,ENSG00000130477,ENSG00000132535,ENSG00000134072,ENSG00000139182,ENSG00000140538,ENSG00000141837,ENSG00000160716,ENSG00000162105,ENSG00000164061,ENSG00000165300,ENSG00000165699,ENSG00000166862,ENSG00000167535,ENSG00000169057,ENSG00000171532,ENSG00000171603,ENSG00000171992,ENSG00000172757,ENSG00000173267,ENSG00000173898,ENSG00000174938,ENSG00000176020,ENSG00000176248,ENSG00000176884,ENSG00000184349,ENSG00000186868,ENSG00000188157,ENSG00000198722,ENSG00000198910,ENSG00000206561"
"434","turquoise",1,TRUE,1.89e-07,143,1100,39,0.035,0.273,"GO:0034703","CC",23,"cation channel complex",1,"ENSG00000006071,ENSG00000006116,ENSG00000007402,ENSG00000055118,ENSG00000067191,ENSG00000069424,ENSG00000072062,ENSG00000082458,ENSG00000088832,ENSG00000099822,ENSG00000100346,ENSG00000102312,ENSG00000105642,ENSG00000106089,ENSG00000108797,ENSG00000116396,ENSG00000117013,ENSG00000119383,ENSG00000120049,ENSG00000120899,ENSG00000129159,ENSG00000130226,ENSG00000132535,ENSG00000141837,ENSG00000148408,ENSG00000155511,ENSG00000156113,ENSG00000157388,ENSG00000158445,ENSG00000162975,ENSG00000166257,ENSG00000166862,ENSG00000167535,ENSG00000168135,ENSG00000171385,ENSG00000176884,ENSG00000184156,ENSG00000198216,ENSG00000198929"
"204","turquoise",1,TRUE,2.65e-07,671,1100,115,0.105,0.171,"GO:0031175","BP",10,"neuron projection development",1,"ENSG00000006740,ENSG00000008300,ENSG00000008735,ENSG00000020129,ENSG00000041515,ENSG00000043143,ENSG00000049759,ENSG00000055163,ENSG00000058404,ENSG00000059915,ENSG00000061337,ENSG00000063660,ENSG00000067606,ENSG00000068971,ENSG00000070182,ENSG00000072518,ENSG00000072832,ENSG00000076356,ENSG00000076864,ENSG00000077279,ENSG00000087258,ENSG00000100320,ENSG00000100884,ENSG00000102225,ENSG00000102882,ENSG00000103034,ENSG00000103264,ENSG00000105429,ENSG00000105649,ENSG00000106683,ENSG00000107130,ENSG00000107263,ENSG00000107404,ENSG00000108797,ENSG00000108947,ENSG00000110888,ENSG00000111249,ENSG00000113758,ENSG00000114554,ENSG00000115694,ENSG00000118046,ENSG00000120899,ENSG00000124140,ENSG00000124507,ENSG00000125170,ENSG00000125650,ENSG00000126243,ENSG00000130477,ENSG00000130479,ENSG00000132535,ENSG00000132670,ENSG00000134072,ENSG00000135127,ENSG00000135622,ENSG00000135638,ENSG00000136271,ENSG00000136854,ENSG00000137312,ENSG00000137825,ENSG00000138834,ENSG00000140538,ENSG00000140854,ENSG00000141522,ENSG00000141699,ENSG00000141837,ENSG00000142208,ENSG00000142453,ENSG00000143126,ENSG00000143761,ENSG00000145147,ENSG00000148082,ENSG00000151640,ENSG00000153317,ENSG00000154096,ENSG00000158555,ENSG00000160007,ENSG00000160460,ENSG00000160716,ENSG00000163462,ENSG00000164742,ENSG00000165300,ENSG00000165699,ENSG00000165802,ENSG00000166313,ENSG00000168546,ENSG00000169057,ENSG00000169750,ENSG00000170382,ENSG00000171246,ENSG00000171608,ENSG00000172757,ENSG00000173621,ENSG00000173898,ENSG00000174233,ENSG00000174672,ENSG00000174775,ENSG00000175866,ENSG00000176248,ENSG00000176406,ENSG00000176884,ENSG00000177169,ENSG00000178950,ENSG00000179242,ENSG00000183049,ENSG00000184347,ENSG00000184349,ENSG00000185133,ENSG00000186868,ENSG00000196405,ENSG00000196588,ENSG00000196923,ENSG00000197555,ENSG00000198026,ENSG00000198793,ENSG00000198910"
"3110","turquoise",1,TRUE,2.81e-07,449,1100,85,0.077,0.189,"GO:0048812","BP",46,"neuron projection morphogenesis",1,"ENSG00000006740,ENSG00000008300,ENSG00000008735,ENSG00000041515,ENSG00000043143,ENSG00000049759,ENSG00000055163,ENSG00000058404,ENSG00000061337,ENSG00000063660,ENSG00000067606,ENSG00000070182,ENSG00000072518,ENSG00000072832,ENSG00000076356,ENSG00000076864,ENSG00000077279,ENSG00000100320,ENSG00000100884,ENSG00000102882,ENSG00000103264,ENSG00000105429,ENSG00000105649,ENSG00000106683,ENSG00000107404,ENSG00000108797,ENSG00000108947,ENSG00000110888,ENSG00000111249,ENSG00000114554,ENSG00000115694,ENSG00000118046,ENSG00000124507,ENSG00000125170,ENSG00000125650,ENSG00000126243,ENSG00000130477,ENSG00000130479,ENSG00000132535,ENSG00000132670,ENSG00000135622,ENSG00000135638,ENSG00000136854,ENSG00000137312,ENSG00000137825,ENSG00000138834,ENSG00000140538,ENSG00000141522,ENSG00000141837,ENSG00000143126,ENSG00000145147,ENSG00000148082,ENSG00000151640,ENSG00000154096,ENSG00000160007,ENSG00000160460,ENSG00000160716,ENSG00000163462,ENSG00000164742,ENSG00000165300,ENSG00000165802,ENSG00000166313,ENSG00000168546,ENSG00000170382,ENSG00000171246,ENSG00000171608,ENSG00000172757,ENSG00000173621,ENSG00000173898,ENSG00000174672,ENSG00000174775,ENSG00000175866,ENSG00000176248,ENSG00000176406,ENSG00000176884,ENSG00000177169,ENSG00000179242,ENSG00000184347,ENSG00000184349,ENSG00000186868,ENSG00000196405,ENSG00000196923,ENSG00000197555,ENSG00000198026,ENSG00000198910"
"534","turquoise",1,TRUE,9.59e-07,89,1100,28,0.025,0.315,"GO:0022843","MF",59,"voltage-gated cation channel activity",1,"ENSG00000006071,ENSG00000006116,ENSG00000007402,ENSG00000055118,ENSG00000067191,ENSG00000069424,ENSG00000099822,ENSG00000100346,ENSG00000107130,ENSG00000116396,ENSG00000117013,ENSG00000120049,ENSG00000129159,ENSG00000141837,ENSG00000148408,ENSG00000156113,ENSG00000157388,ENSG00000158445,ENSG00000162728,ENSG00000162975,ENSG00000166862,ENSG00000167535,ENSG00000168135,ENSG00000171385,ENSG00000183087,ENSG00000184156,ENSG00000184185,ENSG00000198216"
"4110","turquoise",1,TRUE,1.29e-06,342,1100,68,0.062,0.199,"GO:0043025","CC",44,"neuronal cell body",1,"ENSG00000008735,ENSG00000020129,ENSG00000054356,ENSG00000067606,ENSG00000076864,ENSG00000082458,ENSG00000100884,ENSG00000101210,ENSG00000102385,ENSG00000103042,ENSG00000103264,ENSG00000103942,ENSG00000104833,ENSG00000105409,ENSG00000105642,ENSG00000107404,ENSG00000108684,ENSG00000116584,ENSG00000118160,ENSG00000119522,ENSG00000120899,ENSG00000121905,ENSG00000122966,ENSG00000123360,ENSG00000124140,ENSG00000125841,ENSG00000129159,ENSG00000129990,ENSG00000130479,ENSG00000140854,ENSG00000141837,ENSG00000142185,ENSG00000143801,ENSG00000145920,ENSG00000148408,ENSG00000152092,ENSG00000154096,ENSG00000154146,ENSG00000155511,ENSG00000158445,ENSG00000158555,ENSG00000159164,ENSG00000159363,ENSG00000160460,ENSG00000161381,ENSG00000162105,ENSG00000162545,ENSG00000164418,ENSG00000164715,ENSG00000165553,ENSG00000165802,ENSG00000166165,ENSG00000166313,ENSG00000167136,ENSG00000169750,ENSG00000171992,ENSG00000172531,ENSG00000172757,ENSG00000173267,ENSG00000173898,ENSG00000174938,ENSG00000175866,ENSG00000181418,ENSG00000186868,ENSG00000187778,ENSG00000198793,ENSG00000198797,ENSG00000198910"
